# Filename:     mountain.txt
#
# Location:     Neverland
# EPSG:         25833
# Fictitious mountain profile, created by Amaury Bélières-Frendo 2021-07-03.
#      X          Y       Z       W   tau_c    b0    h0    u0
  3585.8        0.0     4.0   192.1   998.0  0.00  0.00   0.0
  3624.3        0.0     9.3   189.6   995.4  0.00  0.00   0.0
  3662.8        0.0    16.0   186.4   992.0  0.00  0.00   0.0
  3701.4        0.0    27.3   181.2   986.4  0.00  0.00   0.0
  3739.9        0.0    44.6   173.4   977.7  0.00  0.00   0.0
  3778.5        0.0    58.1   167.5   971.0  0.00  0.00   0.0
  3817.0        0.0    71.5   161.7   964.2  0.00  0.00   0.0
  3855.7        0.0    78.7   158.7   960.6  0.00  0.00   0.0
  3894.4        0.0    97.7   150.9   951.1  0.00  0.00   0.0
  3933.1        0.0   115.1   144.1   942.5  0.00  0.00   0.0
  3971.8        0.0   125.4   140.1   937.3  0.00  0.00   0.0
  4000.8        0.0   136.2   136.0   931.9  0.00  0.00   0.0
